NumCases,NumCorrectPredictions,cum_correctpredictions,cum_pop,%predictors,%population
666,24,24,666,0.008382815228781,0.010014886994180539
665,32,56,1331,0.019559902200488997,0.020014736620501947
665,30,86,1996,0.030038421236465246,0.030014586246823356
665,41,127,2661,0.04435906391896612,0.040014435873144766
665,32,159,3326,0.05553615089067412,0.050014285499466175
665,52,211,3991,0.07369891721969962,0.060014135125787585
665,58,269,4656,0.09395738735592037,0.07001398475210899
665,63,332,5321,0.11596227733147049,0.0800138343784304
665,62,394,5986,0.13761788333915473,0.0900136840047518
665,72,466,6651,0.16276632902549773,0.10001353363107322
665,67,533,7316,0.18616835487251135,0.11001338325739463
665,74,607,7981,0.2120153684945861,0.12001323288371603
665,76,683,8646,0.23856095005239258,0.13001308251003743
665,83,766,9311,0.26755151938526023,0.14001293213635885
665,39,805,9976,0.28117359413202936,0.15001278176268026
665,63,868,10641,0.30317848410757947,0.16001263138900168
665,41,909,11306,0.31749912679008035,0.17001248101532307
665,38,947,11971,0.3307719175689836,0.18001233064164449
665,38,985,12636,0.3440447083478868,0.1900121802679659
665,55,1040,13301,0.36325532658050996,0.2000120298942873
665,63,1103,13966,0.3852602165560601,0.2100118795206087
665,46,1149,14631,0.40132727907789034,0.22001172914693012
665,49,1198,15296,0.4184421935033182,0.23001157877325154
665,24,1222,15961,0.4268250087320992,0.24001142839957293
665,32,1254,16626,0.4380020957038072,0.25001127802589435
665,26,1280,17291,0.44708347886831995,0.26001112765221573
665,27,1307,17956,0.45651414600069856,0.2700109772785372
665,16,1323,18621,0.4621026894865526,0.28001082690485857
665,12,1335,19286,0.46629409710094305,0.29001067653117996
665,30,1365,19951,0.4767726161369193,0.3000105261575014
665,50,1415,20616,0.49423681453021306,0.3100103757838228
665,31,1446,21281,0.5050646175340552,0.32001022541014423
665,38,1484,21946,0.5183374083129584,0.3300100750364656
665,32,1516,22611,0.5295144952846664,0.340009924662787
665,41,1557,23276,0.5438351379671673,0.35000977428910846
665,44,1601,23941,0.5592036325532658,0.36000962391542984
665,41,1642,24606,0.5735242752357667,0.37000947354175123
665,35,1677,25271,0.5857492141110723,0.3800093231680727
665,38,1715,25936,0.5990220048899756,0.39000917279439407
665,32,1747,26601,0.6101990918616835,0.40000902242071545
665,52,1799,27266,0.628361858190709,0.4100088720470369
665,60,1859,27931,0.6493188962626616,0.4200087216733583
665,51,1910,28596,0.6671323786238211,0.43000857129967973
665,36,1946,29261,0.6797066014669927,0.4400084209260011
665,36,1982,29926,0.6922808243101641,0.4500082705523225
665,32,2014,30591,0.7034579112818722,0.46000812017864395
665,28,2042,31256,0.7132378623821166,0.47000796980496534
665,20,2062,31921,0.7202235417394341,0.48000781943128673
665,22,2084,32586,0.7279077890324834,0.4900076690576082
665,33,2117,33251,0.7394341599720573,0.5000075186839296
665,20,2137,33916,0.7464198393293748,0.510007368310251
665,33,2170,34581,0.7579462102689487,0.5200072179365723
665,19,2189,35246,0.7645826056584003,0.5300070675628938
665,31,2220,35911,0.7754104086622424,0.5400069171892152
665,25,2245,36576,0.7841425078588893,0.5500067668155366
665,28,2273,37241,0.7939224589591338,0.560006616441858
665,33,2306,37906,0.8054488298987077,0.5700064660681794
665,16,2322,38571,0.8110373733845616,0.5800063156945008
665,33,2355,39236,0.8225637443241355,0.5900061653208223
665,25,2380,39901,0.8312958435207825,0.6000060149471437
665,25,2405,40566,0.8400279427174293,0.6100058645734651
665,11,2416,41231,0.8438700663639539,0.6200057141997865
665,20,2436,41896,0.8508557457212714,0.6300055638261078
665,11,2447,42561,0.854697869367796,0.6400054134524293
665,15,2462,43226,0.8599371288857841,0.6500052630787507
665,23,2485,43891,0.8679706601466992,0.6600051127050721
665,15,2500,44556,0.8732099196646874,0.6700049623313935
665,28,2528,45221,0.8829898707649319,0.6800048119577149
665,23,2551,45886,0.8910234020258471,0.6900046615840363
665,32,2583,46551,0.902200488997555,0.7000045112103578
665,20,2603,47216,0.9091861683548725,0.7100043608366792
665,15,2618,47881,0.9144254278728606,0.7200042104630006
665,15,2633,48546,0.9196646873908487,0.730004060089322
665,13,2646,49211,0.9242053789731052,0.7400039097156433
665,13,2659,49876,0.9287460705553615,0.7500037593419648
665,12,2671,50541,0.932937478169752,0.7600036089682862
665,13,2684,51206,0.9374781697520084,0.7700034585946076
665,8,2692,51871,0.9402724414949354,0.780003308220929
665,6,2698,52536,0.9423681453021306,0.7900031578472504
665,13,2711,53201,0.946908836884387,0.8000030074735718
665,9,2720,53866,0.9500523925951799,0.8100028570998933
665,13,2733,54531,0.9545930841774363,0.8200027067262147
665,17,2750,55196,0.9605309116311561,0.8300025563525361
665,18,2768,55861,0.9668180230527419,0.8400024059788574
665,6,2774,56526,0.9689137268599372,0.8500022556051788
665,5,2779,57191,0.9706601466992665,0.8600021052315002
665,11,2790,57856,0.9745022703457912,0.8700019548578217
665,12,2802,58521,0.9786936779601816,0.8800018044841431
665,9,2811,59186,0.9818372336709745,0.8900016541104645
665,12,2823,59851,0.986028641285365,0.9000015037367859
665,15,2838,60516,0.9912679008033531,0.9100013533631073
665,5,2843,61181,0.9930143206426825,0.9200012029894288
665,5,2848,61846,0.9947607404820119,0.9300010526157502
665,1,2849,62511,0.9951100244498777,0.9400009022420716
665,2,2851,63176,0.9958085923856095,0.950000751868393
665,0,2851,63841,0.9958085923856095,0.9600006014947143
665,2,2853,64506,0.9965071603213412,0.9700004511210357
665,4,2857,65171,0.9979042961928047,0.9800003007473572
665,3,2860,65836,0.9989521480964024,0.9900001503736786
665,3,2863,66501,1.0,1.0
